shift,z_dist,strain,gap
0.4,6.214285714285714,0.99,"(0.812661744225207, 1.5829961727888628, 0.7703344285636559)"
0.4,6.214285714285714,0.9915384615384615,"(0.7888887926598851, 1.5479922086710192, 0.7591034160111341)"
0.4,6.214285714285714,0.9930769230769231,"(0.7658194548263286, 1.513601337805702, 0.7477818829793734)"
0.4,6.214285714285714,0.9946153846153846,"(0.7431021216975745, 1.4795975725307402, 0.7364954508331657)"
0.4,6.214285714285714,0.9961538461538462,"(0.7206861056995663, 1.4457448697180084, 0.7250587640184422)"
0.4,6.214285714285714,0.9976923076923077,"(0.6982991066556979, 1.4118371524478437, 0.7135380457921457)"
0.4,6.214285714285714,0.9992307692307693,"(0.6774920154970094, 1.3791444634388026, 0.7016524479417932)"
0.4,6.214285714285714,1.0007692307692309,"(0.6553857473990935, 1.3452979277466703, 0.6899121803475768)"
0.4,6.214285714285714,1.0023076923076923,"(0.634540589364047, 1.3125776149556794, 0.6780370255916324)"
0.4,6.214285714285714,1.0038461538461538,"(0.6119130283275305, 1.278589950726739, 0.6666769223992086)"
0.4,6.214285714285714,1.0053846153846153,"(0.591253490182262, 1.2459263871863526, 0.6546728970040906)"
0.4,6.214285714285714,1.006923076923077,"(0.5711564094815422, 1.2137262491469898, 0.6425698396654476)"
0.4,6.214285714285714,1.0084615384615385,"(0.5507151465879655, 1.1813022670594315, 0.630587120471466)"
0.4,6.214285714285714,1.01,"(0.5285764368606916, 1.1479992773292034, 0.6194228404685118)"
0.4,6.285714285714286,0.99,"(0.8538110318656612, 1.5653772563025314, 0.7115662244368702)"
0.4,6.285714285714286,0.9915384615384615,"(0.830350756784762, 1.5313963822471, 0.701045625462338)"
0.4,6.285714285714286,0.9930769230769231,"(0.80740563561936, 1.4971817464275445, 0.6897761108081846)"
0.4,6.285714285714286,0.9946153846153846,"(0.7833676129679753, 1.462466596870066, 0.6790989839020908)"
0.4,6.285714285714286,0.9961538461538462,"(0.759885338154733, 1.428461264209754, 0.668575926055021)"
