distance,shift,gap
6.723684210526315930e+00,6.315789473684210176e-01,8.791085166933114703e-01
6.763157894736842479e+00,6.315789473684210176e-01,8.871255925542390619e-01
6.802631578947368141e+00,6.315789473684210176e-01,8.936969100486659157e-01
6.842105263157894690e+00,6.315789473684210176e-01,9.002296309458723833e-01
6.881578947368421240e+00,6.315789473684210176e-01,8.961680114069199288e-01
6.921052631578946901e+00,6.315789473684210176e-01,8.928692532460469344e-01
6.960526315789473450e+00,6.315789473684210176e-01,8.887079231891183984e-01
7.000000000000000000e+00,6.315789473684210176e-01,8.847470648235025159e-01
6.250000000000000000e+00,6.842105263157893802e-01,7.063710311726691948e-01
6.289473684210526550e+00,6.842105263157893802e-01,7.295534343384389997e-01
6.328947368421052211e+00,6.842105263157893802e-01,7.480465864289258526e-01
6.368421052631578760e+00,6.842105263157893802e-01,7.639767576889092693e-01
6.407894736842105310e+00,6.842105263157893802e-01,7.808172097720289528e-01
6.447368421052631859e+00,6.842105263157893802e-01,7.967104711120724936e-01
6.486842105263157521e+00,6.842105263157893802e-01,8.106539544634211447e-01
6.526315789473684070e+00,6.842105263157893802e-01,8.243074832505574712e-01
6.565789473684210620e+00,6.842105263157893802e-01,8.359791309325497188e-01
6.605263157894737169e+00,6.842105263157893802e-01,8.474956477479153039e-01
6.644736842105262831e+00,6.842105263157893802e-01,8.580304022650007134e-01
6.684210526315789380e+00,6.842105263157893802e-01,8.673061112606774703e-01
6.723684210526315930e+00,6.842105263157893802e-01,8.755562413309712078e-01
6.763157894736842479e+00,6.842105263157893802e-01,8.837891869407856760e-01
6.802631578947368141e+00,6.842105263157893802e-01,8.909303711183675922e-01
6.842105263157894690e+00,6.842105263157893802e-01,8.982470261672026446e-01
6.881578947368421240e+00,6.842105263157893802e-01,8.965763413324854270e-01
6.921052631578946901e+00,6.842105263157893802e-01,8.931929996598901855e-01
6.960526315789473450e+00,6.842105263157893802e-01,8.890434345088498169e-01
7.000000000000000000e+00,6.842105263157893802e-01,8.849132322702937259e-01
6.250000000000000000e+00,7.368421052631578538e-01,6.918921342533407293e-01
6.289473684210526550e+00,7.368421052631578538e-01,7.137515421541767990e-01
6.328947368421052211e+00,7.368421052631578538e-01,7.339646423856243107e-01
6.368421052631578760e+00,7.368421052631578538e-01,7.546862835694565508e-01
6.407894736842105310e+00,7.368421052631578538e-01,7.702951897865450981e-01
6.447368421052631859e+00,7.368421052631578538e-01,7.866715056607254120e-01
6.486842105263157521e+00,7.368421052631578538e-01,8.022998108549319607e-01
6.526315789473684070e+00,7.368421052631578538e-01,8.164011462732856383e-01
6.565789473684210620e+00,7.368421052631578538e-01,8.298747727200475044e-01
6.605263157894737169e+00,7.368421052631578538e-01,8.410872079874054386e-01
6.644736842105262831e+00,7.368421052631578538e-01,8.527848177842979327e-01
6.684210526315789380e+00,7.368421052631578538e-01,8.624385504950385917e-01
6.723684210526315930e+00,7.368421052631578538e-01,8.713308005034023918e-01
6.763157894736842479e+00,7.368421052631578538e-01,8.796768153480019059e-01
6.802631578947368141e+00,7.368421052631578538e-01,8.876270668734644875e-01
6.842105263157894690e+00,7.368421052631578538e-01,8.949806647205806875e-01
6.881578947368421240e+00,7.368421052631578538e-01,8.970296094019754030e-01
6.921052631578946901e+00,7.368421052631578538e-01,8.934806120025347020e-01
6.960526315789473450e+00,7.368421052631578538e-01,8.893117714981639832e-01
7.000000000000000000e+00,7.368421052631578538e-01,8.850477363202544634e-01
6.250000000000000000e+00,7.894736842105263275e-01,6.732435868550326052e-01
6.289473684210526550e+00,7.894736842105263275e-01,6.984828401014525623e-01
6.328947368421052211e+00,7.894736842105263275e-01,7.211666594167985833e-01
6.368421052631578760e+00,7.894736842105263275e-01,7.402293723446440321e-01
6.407894736842105310e+00,7.894736842105263275e-01,7.600072444024615903e-01
6.447368421052631859e+00,7.894736842105263275e-01,7.768113109936186644e-01
6.486842105263157521e+00,7.894736842105263275e-01,7.931694555738665331e-01
6.526315789473684070e+00,7.894736842105263275e-01,8.080112984981722146e-01
6.565789473684210620e+00,7.894736842105263275e-01,8.233360721420777129e-01
6.605263157894737169e+00,7.894736842105263275e-01,8.343055125227387681e-01
6.644736842105262831e+00,7.894736842105263275e-01,8.456120918557475941e-01
6.684210526315789380e+00,7.894736842105263275e-01,8.561340567826387637e-01
6.723684210526315930e+00,7.894736842105263275e-01,8.663593794870216858e-01
6.763157894736842479e+00,7.894736842105263275e-01,8.751763923546660440e-01
6.802631578947368141e+00,7.894736842105263275e-01,8.841070383252893627e-01
6.842105263157894690e+00,7.894736842105263275e-01,8.912861707452071069e-01
6.881578947368421240e+00,7.894736842105263275e-01,8.974397524517143676e-01
6.921052631578946901e+00,7.894736842105263275e-01,8.936734995535482451e-01
6.960526315789473450e+00,7.894736842105263275e-01,8.894381076196505864e-01
7.000000000000000000e+00,7.894736842105263275e-01,8.851105474729341616e-01
6.250000000000000000e+00,8.421052631578946901e-01,6.562272180346997441e-01
6.289473684210526550e+00,8.421052631578946901e-01,6.826368705228705869e-01
6.328947368421052211e+00,8.421052631578946901e-01,7.058070143217322068e-01
6.368421052631578760e+00,8.421052631578946901e-01,7.288702339244207407e-01
6.407894736842105310e+00,8.421052631578946901e-01,7.475778080429418271e-01
6.447368421052631859e+00,8.421052631578946901e-01,7.663086199002778764e-01
6.486842105263157521e+00,8.421052631578946901e-01,7.835305347811830634e-01
6.526315789473684070e+00,8.421052631578946901e-01,8.004678583670483683e-01
6.565789473684210620e+00,8.421052631578946901e-01,8.142702548423157438e-01
6.605263157894737169e+00,8.421052631578946901e-01,8.283251618616880307e-01
6.644736842105262831e+00,8.421052631578946901e-01,8.402497897870933041e-01
6.684210526315789380e+00,8.421052631578946901e-01,8.513301314771146711e-01
