x,y,i,j,z_ml,z_dft,gap,correction,Mo_strain,W_strain
-14.58373083967219,37.61225717080305,0.3773363773859561,0.18217078253800872,6.507259208252204,6.507259208252208,0.24347069965242474,0.13184033181612864,0.0017636910747894767,-0.0007833754991477597
-14.825590904186285,34.297181344729005,0.42506044458869857,0.14682328825155394,6.498927228935839,6.498927228935839,0.2475493537281993,0.13268878689441144,0.0016829525811501837,-0.0008178520608351586
-15.068066143684483,30.981842692596736,0.4734342110335609,0.11083472439202584,6.487140778018082,6.487140778018082,0.2531485767583149,0.13356149262544226,0.0015916619065331119,-0.0008216951860044915
-15.309897709416354,27.666756996795254,0.5225419071627135,0.07469643566960675,6.508714453376765,6.508714453376767,0.2572349273798904,0.1346525895367091,0.0014521653488731613,-0.0007292379262760555
-15.930831092248715,59.355012668935316,0.0431897316565015,0.357868733113344,6.554912095825513,6.554912095825513,0.2585084506504296,0.14050076055576344,0.0005276607140487852,0.0005661987218946402
-16.149352239778427,56.03620190991004,0.10128016098296137,0.3286771148266785,6.539701965852972,6.53970196585297,0.25233959909937254,0.13908811026017287,0.0007015305297269128,0.00036166009238007703
-16.374139050579572,52.71942738710909,0.15651585833803122,0.2986107874346053,6.523975642302597,6.523975642302595,0.24861000203452632,0.1368544657034978,0.001005577287324382,9.270006571677825e-05
-16.605256878736082,49.40497619300597,0.20864613201807264,0.2672080688805453,6.518221383978084,6.518221383978085,0.24367348158686253,0.13509911707503042,0.001257897550845443,-0.00016375890849850303
-16.84121709934741,46.09132341222479,0.2582017104316599,0.23423696062523686,6.520578713841726,6.520578713841731,0.24248804753780373,0.1333055914090875,0.0014808679224955058,-0.0002918139101705138
-17.080793822727735,42.776630077833275,0.3065702771561352,0.20005258817871835,6.525170728255411,6.525170728255411,0.24246062710025829,0.13270773657604984,0.001574185491193928,-0.0004075429732730452
-17.321654304248472,39.46113123799154,0.3548404174758722,0.1643655090843664,6.525513803756004,6.525513803756002,0.2453436592926005,0.13349189283513974,0.001522886817405417,-0.0005291868762320938
-17.56317779538262,36.145164837487435,0.4040173398381158,0.12788799542412738,6.517107918684745,6.517107918684745,0.24860569264176668,0.13396396098544838,0.0015141730305561988,-0.000687674800536537
-17.805339495032058,32.829174534011564,0.4532983914086496,0.09094487502647823,6.499853516395985,6.499853516395985,0.2555852819920432,0.13413200366048372,0.0015253173750605473,-0.0007986448510292366
-18.681475925123223,61.21633780943722,0.006970483026613674,0.34318108116901186,6.585206201290385,6.585206201290381,0.2603681820934789,0.1440722615289416,4.2841198421445715e-05,0.0012868330991435252
-18.89822963856034,57.89419836055047,0.06668548671342418,0.31379594097536645,6.576734578945818,6.576734578945818,0.25368789894957167,0.1438036290518705,8.677438578486394e-05,0.0011991070510092383
-19.119526354810535,54.574029185434284,0.12464605130449738,0.2831734234106782,6.5594599221501575,6.559459922150161,0.2503814237577294,0.1419417318889904,0.0003198957281880944,0.0009113787706728618
-19.347944109257153,51.25623861907013,0.1796744923656222,0.251256458635083,6.54570598501882,6.54570598501882,0.2461745267600265,0.13967497951546992,0.0006032312912231811,0.0005634371356653089
-19.581703014137716,47.94049736616868,0.23203353080605124,0.21761553840686906,6.5404810419932105,6.540481041993207,0.24540538381821342,0.1375637754208211,0.0008870277405760363,0.0002601375391130753
-19.81937121631283,44.624939461855135,0.28270834129780276,0.1825935713612413,6.539780623870678,6.539780623870675,0.24509814406672037,0.13546597251701864,0.0011743783661505814,8.239010476217785e-06
-2.0443182792115584,11.829154150816493,0.7433636936629425,0.13926665297002921,6.664777296068815,6.664777296068813,0.24545314519254957,0.15027830477982662,-0.0009790791491332774,0.0032415766697910585
-2.1953989011123345,50.039803707477226,0.21790082599036698,0.4219404836327811,6.425744552159086,6.425744552159088,0.24355090233412646,0.1267485668167876,0.002495915898600649,-0.0014472229514771173
-2.2676167131340628,8.511273261726226,0.8017479481302449,0.10821613150413217,6.723721552276977,6.723721552276977,0.2410273313623389,0.15127080275040194,-0.0014141696420039613,0.004395917162852228
-2.4278243456414246,46.73312688536754,0.2657822183124131,0.39331924158476117,6.421960311280616,6.421960311280618,0.23952961153138597,0.12411684935317524,0.0028569370864800258,-0.00168342235008317
-2.4870308972560946,5.187042370998901,0.8631194290118854,0.07618522166092047,6.774494414807463,6.774494414807462,0.23542625382934512,0.15161846412099056,-0.0017074754699856567,0.0053482373366327655
-2.6654769905566207,43.42786677454778,0.310565884528023,0.3645569239571555,6.423395451752153,6.423395451752155,0.23542479778292913,0.12249929277306004,0.0030660847498895183,-0.0017825614331291647
-2.9053936091676538,40.1228319755074,0.35347525709570204,0.33539331838470615,6.42271988767591,6.42271988767591,0.23710197975282588,0.12276991154212546,0.0030302398123675128,-0.0017628905262746673
-20.05973899702444,41.30914812289827,0.33283130212092416,0.14615877367765734,6.537530642011374,6.537530642011376,0.24741095839066607,0.1348529602457469,0.0013010202475791425,-0.0002294869513109009
-20.30081290611156,37.99278494531105,0.3830113925632965,0.10886151959588536,6.52818260594719,6.528182605947192,0.25077751414190563,0.1346780075952747,0.001384208339839778,-0.00047826249625617105
-21.650730456514538,59.7513505602302,0.03226885653755122,0.29695776621038555,6.621040663887323,6.621040663887321,0.2532004783467888,0.1479988600256843,-0.0005086395816686421,0.0021660388070601196
-21.869350822031045,56.42729582888502,0.09253600543084357,0.2659646118240157,6.606777208110515,6.6067772081105165,0.250162987892665,0.1471903714759636,-0.00038505165752045,0.0019368983059686068
-22.09386681159956,53.10604022663155,0.15044773872253775,0.23354715655000355,6.586379273530639,6.586379273530639,0.24740949136822854,0.14524786403967527,-0.00011591668911541301,0.001520399959050767
-22.324866428463483,49.78765512063734,0.2056818295116729,0.19954644207699992,6.5700824141096135,6.5700824141096135,0.24677274226482615,0.14315458676283432,0.00018783713556121912,0.0010099661220808985
-22.560209596406914,46.471221226544536,0.25882256749529625,0.16403804836698174,6.5585042702704275,6.558504270270426,0.24655380129886795,0.1397561173937838,0.000596692915640672,0.0005597344493216211
-22.7986880672808,43.15558270614323,0.31070962835307386,0.12733345545646504,6.548576682686155,6.548576682686152,0.2488470087709317,0.1368069513689305,0.0009956073733743392,0.00015036838832717031
-24.40792427830078,61.6072345991281,0.9650153349938682,0.25478669967729395,6.6701596067715805,6.670159606771584,0.2512573184521648,0.15116045677856782,-0.0010716013209852281,0.0031885421681376656
-24.624845526335758,58.2802199307664,0.060071122054208004,0.24631194127427297,6.663096493366883,6.663096493366883,0.24692691301052005,0.15105157117026835,-0.0010400030242271549,0.0031126142694669428
-24.84577770787062,54.95526427622611,0.12065739556910976,0.21367527410183423,6.640507213139005,6.640507213139003,0.2452119078332543,0.15010791171019944,-0.0008307050575218259,0.0027184161237537633
-25.072810684496865,51.63317860829296,0.17857560575832704,0.17980711973237926,6.612958981529026,6.612958981529026,0.24607253454456146,0.1477470777970683,-0.00046586054922413114,0.002072763202284193
-25.304963977279904,48.31509712537131,0.2343934942958927,0.1441026656411257,6.5877300463862145,6.587730046386213,0.24705008199867717,0.14508315069551136,-5.6967501371856655e-05,0.001322967111982689
-25.54080577738075,44.99953379709496,0.2883205524670369,0.10745139678538687,6.565252092191541,6.565252092191541,0.2515028243795998,0.1404593067871035,0.0005013125542649604,0.0007011223985687259
-27.387307049526193,60.133825553671535,0.027438362183074317,0.22410533695669083,6.720617038062127,6.720617038062128,0.24221457362509224,0.15219293187918193,-0.0014946015495779015,0.004291510167903371
-27.605512869948956,56.80531757506842,0.08984746383482883,0.19138723028857957,6.702001573890281,6.7020015738902785,0.24167724144707814,0.1520042216798384,-0.0013862377176769578,0.00399138640693904
-27.828045167941042,53.47971447391311,0.15062315040511057,0.15732272212271242,6.6682672833112395,6.668267283311238,0.24382767115946702,0.15059152127790498,-0.0010345985338594188,0.0033153992575002734
-28.055627645372567,50.15847877874605,0.20909083461693828,0.12199016377083122,6.630349989180278,6.63034998918028,0.24718033683255458,0.1488524639239195,-0.0006240647795634008,0.002370384088666412
-3.1459022437662547,36.81735942524366,0.39530670779139004,0.30672151022193456,6.424267563594924,6.424267563594924,0.23856210937171585,0.12394077807502213,0.0028845394669226713,-0.001711677849215664
-3.3869145112623333,33.51252041995837,0.4366055385538694,0.27884738562185246,6.442261342101359,6.442261342101363,0.23993626480313424,0.12557412013837954,0.002667404537850608,-0.0015901005184791584
-3.6277317969793126,30.20814576073733,0.4781033392906348,0.2516803457548368,6.460545272468963,6.460545272468963,0.2431560665751652,0.12753536761922324,0.0023640893497511987,-0.0012903349672078628
-3.8671223528521703,26.90335439491939,0.5207174804886715,0.2244581470247993,6.48176547109901,6.481765471099012,0.244396887972394,0.13032920145419136,0.0019317939630716526,-0.0008151830662597434
