     twist_angle  internal_angle  natoms  strain                 coeffs_a                 coeffs_b  norm_ratio
0           0.97          119.10 2160.00    0.59   ([-20, -13], [14, -8])   ([-21, -14], [15, -8])        1.09
53          1.10          117.78 1716.00    0.86    ([-12, 6], [-7, -19])    ([-13, 6], [-7, -20])        1.05
54          1.10          122.89 2256.00    0.42    ([-13, 9], [-8, -22])    ([-14, 9], [-8, -23])        1.01
55          1.10          122.40 3330.00    0.25  ([-14, 13], [-12, -27])  ([-15, 13], [-12, -28])        1.00
56          1.11          122.70 3324.00    0.30    ([28, 15], [-15, 11])    ([29, 16], [-16, 11])        1.07
57          1.11          122.32 3573.00    0.34  ([-14, 14], [-13, -28])  ([-15, 14], [-13, -29])        1.00
58          1.11          120.00 2946.00    0.04    ([25, 14], [-14, 11])    ([26, 15], [-15, 11])        1.00
59          1.11          122.52 3567.00    0.39  ([-29, -15], [15, -12])  ([-30, -16], [16, -12])        1.07
60          1.11          117.22 2586.00    0.21  ([-23, -14], [13, -10])  ([-24, -15], [14, -10])        1.01
61          1.11          120.00 1605.00    0.87    ([-12, 6], [-6, -18])    ([-13, 6], [-6, -19])        1.00
62          1.11          123.98 2940.00    0.14  ([-26, -14], [15, -10])  ([-27, -15], [16, -10])        1.03
63          1.12          122.24 3828.00    0.42  ([-29, -14], [15, -14])  ([-30, -15], [16, -14])        1.00
64          1.12          122.36 3822.00    0.47   ([15, 30], [-28, -15])   ([15, 31], [-29, -16])        1.07
65          1.12          120.00 2127.00    0.42   ([-21, -13], [13, -8])   ([-22, -14], [14, -8])        1.00
66          1.12          120.90 2121.00    0.57     ([22, 14], [-13, 7])     ([23, 15], [-14, 7])        1.09
67          1.13          120.00 3171.00    0.14  ([-26, -14], [14, -12])  ([-27, -15], [15, -12])        1.00
68          1.13          123.80 3165.00    0.24  ([-14, 13], [-11, -26])  ([-15, 13], [-11, -27])        1.03
69          1.14          120.00 3408.00    0.24  ([-14, 13], [-13, -27])  ([-15, 13], [-13, -28])        1.00
70          1.14          122.78 2445.00    0.28   ([-10, -23], [23, 14])   ([-10, -24], [24, 15])        1.01
71          1.14          121.52 2793.00    0.08    ([25, 14], [-14, 10])    ([26, 15], [-15, 10])        1.04
72          1.14          123.62 3402.00    0.33  ([-14, 14], [-12, -27])  ([-15, 14], [-12, -28])        1.03
73          1.14          123.42 2439.00    0.36   ([-14, 10], [-8, -22])   ([-15, 10], [-8, -23])        1.08
74          1.14          117.81 2787.00    0.15  ([-25, -15], [13, -10])  ([-26, -16], [14, -10])        1.09
75          1.14          120.00 3657.00    0.33  ([-14, 14], [-14, -28])  ([-15, 14], [-14, -29])        1.00
76          1.14          120.00 3918.00    0.42  ([-29, -14], [14, -15])  ([-30, -15], [15, -15])        1.00
77          1.14          123.31 3912.00    0.50  ([-30, -14], [15, -14])  ([-31, -15], [16, -14])        1.03
78          1.14          123.46 3651.00    0.42  ([-29, -14], [15, -13])  ([-30, -15], [16, -13])        1.03
79          1.14          121.97 1998.00    0.59   ([-21, -13], [13, -7])   ([-22, -14], [14, -7])        1.04
80          1.15          121.41 3012.00    0.15  ([-26, -14], [14, -11])  ([-27, -15], [15, -11])        1.04
81          1.16          125.29 3000.00    0.23  ([-14, 13], [-10, -25])  ([-15, 13], [-10, -26])        1.07
82          1.16          120.00 2310.00    0.28    ([-13, 9], [-9, -22])    ([-14, 9], [-9, -23])        1.00
